GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring.schedular,Schedular,3,0,0,0,1,0,1,0,1,0
Foyer,tn.esprit.spring.dao.entities,Universite,50,0,0,0,8,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Chambre,42,28,0,0,3,7,6,7,6,7
Foyer,tn.esprit.spring.dao.entities,Foyer.FoyerBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Bloc,70,0,0,0,10,0,13,0,13,0
Foyer,tn.esprit.spring.dao.entities,Chambre.ChambreBuilder,57,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,TypeChambre,0,21,0,0,0,2,0,1,0,1
Foyer,tn.esprit.spring.dao.entities,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.dao.entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.dao.entities,Etudiant,90,0,0,0,12,0,17,0,17,0
Foyer,tn.esprit.spring.dao.entities,Foyer,70,0,0,0,10,0,13,0,13,0
Foyer,tn.esprit.spring.dao.entities,Bloc.BlocBuilder,56,0,0,0,1,0,8,0,8,0
Foyer,tn.esprit.spring.dao.entities,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.aop,FoyerAspect,36,0,0,0,11,0,5,0,5,0
Foyer,tn.esprit.spring.services.foyer,FoyerService,152,0,4,0,31,0,12,0,10,0
Foyer,tn.esprit.spring.services.universite,UniversiteService,35,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.config,SpringDocConfig,164,0,0,0,45,0,11,0,11,0
Foyer,tn.esprit.spring.services.chambre,ChambreService,399,38,46,0,68,7,31,6,7,6
Foyer,tn.esprit.spring.services.bloc,BlocService,180,0,10,0,39,0,14,0,9,0
Foyer,tn.esprit.spring,FoyerApplication,5,3,0,0,2,1,1,1,1,1
Foyer,tn.esprit.spring.services.reservation,ReservationService,331,0,18,0,67,0,22,0,12,0
Foyer,tn.esprit.spring.services.etudiant,EtudiantService,35,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.restcontrollers,FoyerRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.restcontrollers,BlocRestController,42,0,0,0,10,0,8,0,8,0
Foyer,tn.esprit.spring.restcontrollers,UniversiteRestController,30,0,0,0,8,0,6,0,6,0
Foyer,tn.esprit.spring.restcontrollers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.restcontrollers,ChambreRestController,26,21,0,0,7,4,5,4,5,4
Foyer,tn.esprit.spring.restcontrollers,EtudiantRestController,30,0,0,0,8,0,6,0,6,0
